Name            Count
Oddish            0
Magikarp          1
Tauros            1
Fearow            1
Caterpie          3
Paras             1
Jigglypuff        3
Snorlax          -1
Diglett           0
Eevee             4
Doduo             3
Weedle            1
Gastly            1
Drowzee           1
Slowpoke          3
Goldeen           2
Pidgey           10
Horsea            1
Poliwag           3
Koffing           1
NidoranFemale     3
Pidgeotto         2
Rattata           3
Tentacool         1
Squirtle          0
Pidgeot           1
Rhyhorn           0
Venonat           1
Clefairy          1
Meowth            3
Spearow           6
Psyduck           3
Krabby            1
Ekans             1
Staryu            2
Zubat             5
NidoranMale       3


Total kinds: 37 
Total count: 75
