Name            Count
Poliwag           1
Spearow           3
Pinsir            1
Weedle            2
Gastly            1
Venonat           1
Caterpie          3
Bellsprout        1
Paras             2
Wigglytuff        1
Pidgey            8
Eevee             3
Geodude           1
Zubat             4
NidoranFemale     1
Clefairy          1
Meowth            1
Golbat            1


Total kinds: 18 
Total count: 36
